excel|expel	L	excel は「秀でる」、expel は学校や国から「追放する」
excessive|expensive	L
excessive|extensive	L	excessive は度を超した「過度の」、extensive は範囲が「広範な」
expensive|extensive	L
exciting|existing	L
exclaim|explain	L	exclaim は驚いて「叫ぶ」、explain は「説明する」
exclamation|explanation	L
exert|expert	L
exhibit|inhibit	L	exhibit は「展示する・示す」、inhibit は「抑制する」
exist|exit	L
expect|expert	L
explode|explore	L	explode は「爆発する」、explore は「探検する・探究する」
expression|impression	L	expression は言葉や顔に出す「表現」、impression は受ける側の「印象」
expressive|impressive	L
express|impress	L	express は考えを「表現する」、impress は相手に「印象づける」
facility|faculty	L	facility は建物などの「施設」、faculty は大学の「学部」や人の「能力」
faculty|faulty	L
factor|factory	L
fail|fall	L
farm|firm	L	farm は「農場」、firm は「会社」（形容詞では「固い」）
favor|flavor	L	favor は「好意・親切な行い」、flavor は食べ物の「風味」
feather|weather	L
feather|leather	L
fiction|friction	L	fiction は作り話の「小説」、friction は物がこすれる「摩擦」
flatten|flatter	L	flatten は「平らにする」、flatter は「おだてる・お世辞を言う」
flesh|flush	L
flood|food	L
flood|floor	L
flourish|nourish	L	flourish は「栄える・生い茂る」、nourish は栄養を与えて「養う」
flourishing|nourishing	L
foam|form	L
expensive|inexpensive	反対語
experienced|inexperienced	反対語
experience|inexperience	反対語
fairness|unfairness	反対語
faithful|unfaithful	反対語
familiar|unfamiliar	反対語
favorable|unfavorable	反対語
fidelity|infidelity	反対語
flexible|inflexible	反対語
flattering|unflattering	反対語
explicit|implicit	反対語
explicitly|implicitly	反対語
exclude|include	反対語
exclusion|inclusion	反対語
exclusive|inclusive	反対語
exterior|interior	反対語
external|internal	反対語
exterminate|terminate	遠縁
expatriate|repatriate	遠縁
extricate|intricate	まれ
feckless|reckless	まれ
feign|reign	まれ
float|flout	まれ
foist|moist	まれ
foment|moment	まれ
