formal|normal	L
formally|formerly	L	formally は「正式に」、formerly は「以前は・かつて」
garage|garbage	L	garage は車を入れる「車庫」、garbage は「ごみ」
gasp|grasp	L	gasp は驚いて「息をのむ」、grasp は「しっかりつかむ・理解する」
globe|glove	L
graceful|grateful	L	graceful は動きが「優雅な」、grateful は「感謝して」
grasp|grass	L
greeting|meeting	L
guess|guest	L
hammer|hamper	L	hammer は「ハンマー・打ちつける」、hamper は「妨げる」
healthy|wealthy	L
health|wealth	L	health は「健康」、wealth は「富・財産」
height|weight	L	height は「高さ・身長」、weight は「重さ・体重」
heir|their	L	heir は「相続人」で h を読まず /ˈɛɹ/、their は「彼らの」で /ˈðɛɹ/
forgettable|unforgettable	反対語
forgiving|unforgiving	反対語
formally|informally	反対語
fortunately|unfortunately	反対語
fortunate|unfortunate	反対語
fulfilled|unfulfilled	反対語
frequently|infrequently	反対語
frequent|infrequent	反対語
helpful|unhelpful	反対語
here|there	反対語
good|goods	変化形
grape|grapes	変化形
forfeit|surfeit	まれ
forestall|foretell	まれ
fractious|gracious	まれ
frantic|frenetic	まれ
frenetic|genetic	まれ
fulminate|ruminate	まれ
gawk|hawk	まれ
gnarled|unarmed	まれ
glower|grower	まれ
gregarious|precarious	まれ
gradation|graduation	まれ
gradation|radiation	まれ
gradation|tradition	まれ
goad|goal	まれ
goad|goat	まれ
goad|gold	まれ
goad|good	まれ
goad|load	まれ
goad|road	まれ
goad|toad	まれ
glad|goad	まれ
guide|guile	まれ
guile|guilt	まれ
hapless|harmless	まれ
hapless|harness	まれ
hapless|helpless	まれ
hapless|hopeless	まれ
harrow|narrow	まれ
harrowing|narrowing	まれ
