indoor	indoors	副	屋内で・屋内へ
learn	learner	名	学習者
listen	listener	名	聞き手・リスナー
loud	loudness	名	音の大きさ・騒がしさ		/ˈlaʊdnəs/
love	lover	名	恋人・愛好家
love	lovely	形	愛らしい・素敵な
low	lower	動	下げる・低くする	low の比較級 lower（より低い）から「下げる」
open	openly	副	率直に・公然と	形容詞 open（開いた・率直な）から
open	openness	名	率直さ・開放性
own	ownership	名	所有・所有権
read	reader	名	読者・読み手
read	reading	名	読書・読み物・解釈
short	shortage	名	不足・欠乏	short の「足りない」から
U	happy	glad	glad は名詞の前に置かず「(〜して)うれしい」（I'm glad to see you.）。happy は「幸せな」で a happy life のように名詞の前にも置ける
U	happy	pleased	pleased は「(結果などに)満足した・喜んだ」（be pleased with 〜）
U	have	own	own は「自分のものとして所有している」ことを強く言う。have は「持つ」の広い言い方
U	have	possess	possess は改まった「所有する」で、能力や性質を「備えている」ときにも使う
U	helpful	useful	helpful は「(人・助言が)助けになる・親切な」。useful は「(物・情報が)役に立つ」
U	interested	interesting	interested は人が「興味を持っている」（I'm interested in music.）。interesting は物事が「おもしろい・興味深い」
U	kind	gentle	kind は「親切な（思いやりのある行い）」。gentle は「穏やかな・物腰のやわらかい」
U	big	large	large は数量・大きさを客観的に言う少し改まった語（a large number of）。big は話し言葉で「大きい・重大な」と気持ちもこめる
U	last	final	final は「最終の（それで決まり・もう後がない）」。last は「最後の」のほかに「この前の」（last week）
U	later	latter	later は「のちに・あとの（時間）」。latter は「(2つのうち)後者の」（the former と対になる）
U	little	small	small は客観的に「小さい」。little は「小さくてかわいい」などの気持ちをこめることが多く、比較級は smaller を使う
U	main	chief	chief は「最高位の・主要な」で、chief engineer のように役職にも使う。main は「主な」
U	new	recent	recent は「最近の（最近起こった・作られた）」。new は「新しい」
U	quick	fast	quick は「(動作が)素早い・短い時間で済む」。fast は「(速度が)速い」
U	quick	rapid	rapid は「(変化・成長が)急速な」で、少し改まった語
U	quiet	silent	silent は「音・声を出さない・無言の」。quiet は「静かな・騒がしくない」
U	quiet	calm	calm は「(心・天候・海が)穏やかな・落ち着いた」
U	sad	unhappy	unhappy は「幸せでない・不満な」と状態を広く言う。sad は「悲しい」気持ち
U	sick	ill	ill は名詞の前に置かないことが多い（She is ill.）。sick は a sick child のように名詞の前にも置け、「吐き気がする」の意味もある
